,IP,confidence
"('12686_229',)","('192.168.220.42',)",1.0
"('10067_61',)","('192.168.210.47',)",1.0
"('13304_60',)","('192.168.220.47',)",1.0
"('13364_4',)","('192.168.220.49',)",1.0
"('13395_144',)","('192.168.220.44',)",1.0
"('10151_33',)","('192.168.210.49',)",1.0
"('13525_251',)","('192.168.210.46',)",1.0
"('13543_175',)","('192.168.210.52',)",1.0
"('10327_218',)","('192.168.210.55',)",1.0
"('13681_200',)","('192.168.220.42',)",1.0
"('13392_32',)","('192.168.220.42',)",1.0
"('10138_18',)","('192.168.220.48',)",1.0
"('10403_36',)","('192.168.210.47',)",1.0
"('10632_147',)","('192.168.210.54',)",1.0
"('10244_183',)","('192.168.220.50',)",1.0
"('13977_206',)","('192.168.220.45',)",1.0
"('14094_179',)","('192.168.220.51',)",1.0
"('14129_53',)","('192.168.220.51',)",1.0
"('10299_17',)","('192.168.220.51',)",1.0
"('11151_240',)","('192.168.220.48',)",1.0
"('11735_38',)","('192.168.220.42',)",1.0
"('11323_99',)","('192.168.210.48',)",1.0
"('10327_74',)","('192.168.220.49',)",1.0
"('14326_30',)","('192.168.220.49',)",1.0
"('14377_31',)","('192.168.220.47',)",1.0
"('14378_39',)","('192.168.220.47',)",1.0
"('10151_46',)","('192.168.220.43',)",1.0
"('14427_177',)","('192.168.220.46',)",1.0
"('10166_167',)","('192.168.210.47',)",1.0
"('14436_163',)","('192.168.210.45',)",1.0
"('14473_49',)","('192.168.220.46',)",1.0
"('13056_119',)","('192.168.210.56',)",1.0
"('14498_249',)","('192.168.210.49',)",1.0
"('14499_165',)","('192.168.210.49',)",1.0
"('14531_191',)","('192.168.220.47',)",1.0
"('14539_165',)","('192.168.220.47',)",1.0
"('14548_208',)","('192.168.210.56',)",1.0
"('14567_151',)","('192.168.220.51',)",1.0
"('14601_185',)","('192.168.220.51',)",1.0
"('10373_43',)","('192.168.210.56',)",1.0
"('11097_62',)","('192.168.220.47',)",1.0
"('10236_107',)","('192.168.210.56',)",1.0
"('12320_133',)","('192.168.220.47',)",1.0
"('10946_139',)","('192.168.210.48',)",1.0
"('10925_32',)","('192.168.210.49',)",1.0
"('11167_9',)","('192.168.220.51',)",1.0
"('12823_22',)","('192.168.220.47',)",1.0
"('10718_249',)","('192.168.210.47',)",1.0
"('13153_32',)","('192.168.210.45',)",1.0
"('13593_19',)","('192.168.210.52',)",1.0
"('13794_160',)","('192.168.220.42',)",1.0
"('11869_160',)","('192.168.210.55',)",1.0
"('11700_3',)","('192.168.220.50',)",1.0
"('10343_25',)","('192.168.210.47',)",1.0
"('11869_171',)","('192.168.210.54',)",1.0
"('10745_83',)","('192.168.220.48',)",1.0
"('12730_243',)","('192.168.210.45',)",1.0
"('10717_120',)","('192.168.220.51',)",1.0
"('10694_9',)","('192.168.220.51',)",1.0
"('10274_31',)","('192.168.220.49',)",1.0
"('14608_21',)","('192.168.210.56',)",1.0
"('10427_101',)","('192.168.220.47',)",1.0
"('10654_253',)","('192.168.220.47',)",1.0
"('10427_165',)","('192.168.210.55',)",1.0
"('10946_16',)","('192.168.220.51',)",1.0
"('11046_78',)","('192.168.220.42',)",1.0
"('11116_202',)","('192.168.210.55',)",1.0
"('11117_16',)","('192.168.210.55',)",1.0
"('11151_115',)","('192.168.210.55',)",1.0
"('11163_206',)","('192.168.210.56',)",1.0
"('11234_66',)","('192.168.210.56',)",1.0
"('10156_38',)","('192.168.220.47',)",1.0
"('10391_154',)","('192.168.220.48',)",1.0
"('10236_2',)","('192.168.220.47',)",1.0
"('11362_15',)","('192.168.220.51',)",1.0
"('11830_238',)","('192.168.210.53',)",1.0
"('11697_149',)","('192.168.210.55',)",1.0
"('10088_83',)","('192.168.220.47',)",1.0
"('11697_182',)","('192.168.220.51',)",1.0
"('11933_232',)","('192.168.220.49',)",1.0
"('10717_99',)","('192.168.220.51',)",1.0
"('10427_61',)","('192.168.220.51',)",1.0
"('12198_251',)","('192.168.210.54',)",1.0
"('12430_107',)","('192.168.210.53',)",1.0
"('12438_69',)","('192.168.210.53',)",1.0
"('12521_103',)","('192.168.210.55',)",1.0
"('11323_27',)","('192.168.220.51',)",1.0
"('10708_65',)","('192.168.220.47',)",1.0
"('11801_75',)","('192.168.210.57',)",1.0
"('12850_83',)","('192.168.210.47',)",1.0
"('11727_8',)","('192.168.220.51',)",1.0
"('12993_108',)","('192.168.220.51',)",1.0
"('12995_198',)","('192.168.210.57',)",1.0
"('11697_16',)","('192.168.220.51',)",1.0
"('12441_104',)","('192.168.220.50',)",1.0
"('10046_141',)","('192.168.210.54',)",1.0
"('13140_252',)","('192.168.220.51',)",1.0
"('11697_227',)","('192.168.220.42',)",1.0
"('13160_204',)","('192.168.220.51',)",1.0
"('13218_174',)","('192.168.220.46',)",1.0
"('13218_212',)","('192.168.220.42',)",1.0
"('13007_231',)","('192.168.220.46',)",1.0
"('13286_1',)","('192.168.210.47',)",1.0
"('10987_227',)","('192.168.220.47',)",1.0
"('10879_166',)","('192.168.210.46',)",1.0
"('13358_149',)","('192.168.220.47',)",1.0
"('12873_129',)","('192.168.220.49',)",1.0
"('13428_37',)","('192.168.220.47',)",1.0
"('13447_41',)","('192.168.210.48',)",1.0
"('13447_37',)","('192.168.220.50',)",1.0
"('10042_125',)","('192.168.220.50',)",1.0
"('13501_141',)","('192.168.220.50',)",1.0
"('13513_177',)","('192.168.220.43',)",1.0
"('10427_86',)","('192.168.210.46',)",1.0
"('13552_254',)","('192.168.220.51',)",1.0
"('11697_226',)","('192.168.220.47',)",1.0
"('10114_175',)","('192.168.210.48',)",1.0
"('10114_203',)","('192.168.210.54',)",1.0
"('10952_41',)","('192.168.220.48',)",1.0
"('13776_203',)","('192.168.220.48',)",1.0
"('10003_168',)","('192.168.220.42',)",1.0
"('13940_33',)","('192.168.220.49',)",1.0
"('10003_48',)","('192.168.220.42',)",1.0
"('13960_59',)","('192.168.210.52',)",1.0
"('11975_139',)","('192.168.220.48',)",1.0
"('12059_7',)","('192.168.220.51',)",1.0
"('12193_229',)","('192.168.220.51',)",1.0
"('14112_129',)","('192.168.210.52',)",1.0
"('14117_178',)","('192.168.220.42',)",1.0
"('10391_229',)","('192.168.210.57',)",1.0
"('11767_188',)","('192.168.220.51',)",1.0
"('14157_15',)","('192.168.220.48',)",1.0
"('14215_168',)","('192.168.220.42',)",1.0
"('14228_141',)","('192.168.220.51',)",1.0
"('14231_117',)","('192.168.220.51',)",1.0
"('14259_185',)","('192.168.220.43',)",1.0
"('11472_11',)","('192.168.220.45',)",1.0
"('13440_129',)","('192.168.220.51',)",1.0
"('14389_132',)","('192.168.220.51',)",1.0
"('10764_187',)","('192.168.220.45',)",1.0
"('14423_143',)","('192.168.220.51',)",1.0
"('14433_47',)","('192.168.210.47',)",1.0
"('11078_127',)","('192.168.220.51',)",1.0
"('13376_150',)","('192.168.220.51',)",1.0
"('10963_34',)","('192.168.220.42',)",1.0
"('14505_149',)","('192.168.210.49',)",1.0
"('11690_60',)","('192.168.220.47',)",1.0
"('14528_137',)","('192.168.220.47',)",1.0
"('14545_38',)","('192.168.210.56',)",1.0
"('12217_58',)","('192.168.210.54',)",1.0
"('14552_171',)","('192.168.210.56',)",1.0
"('14555_160',)","('192.168.210.56',)",1.0
"('14562_143',)","('192.168.220.51',)",1.0
"('10708_107',)","('192.168.210.55',)",1.0
"('11225_144',)","('192.168.220.51',)",1.0
"('11472_43',)","('192.168.210.56',)",1.0
"('12401_35',)","('192.168.220.46',)",1.0
"('12517_242',)","('192.168.210.55',)",1.0
"('10099_128',)","('192.168.210.55',)",1.0
"('13588_7',)","('192.168.220.47',)",1.0
"('10030_166',)","('192.168.220.42',)",1.0
"('13908_13',)","('192.168.220.48',)",1.0
"('13116_173',)","('192.168.220.50',)",1.0
"('11975_88',)","('192.168.220.50',)",1.0
"('11975_138',)","('192.168.220.50',)",1.0
"('14422_36',)","('192.168.220.51',)",1.0
"('10932_77',)","('192.168.220.47',)",1.0
"('14475_21',)","('192.168.220.49',)",1.0
"('14186_174',)","('192.168.210.49',)",1.0
"('10284_192',)","('192.168.220.47',)",1.0
"('10392_115',)","('192.168.220.47',)",1.0
"('11047_220',)","('192.168.220.42',)",1.0
"('11379_148',)","('192.168.210.48',)",1.0
"('11554_149',)","('192.168.210.45',)",1.0
"('11565_162',)","('192.168.220.47',)",1.0
"('11151_195',)","('192.168.220.51',)",1.0
"('10327_154',)","('192.168.220.46',)",1.0
"('10236_250',)","('192.168.220.51',)",1.0
"('11750_154',)","('192.168.220.49',)",1.0
"('11323_125',)","('192.168.220.51',)",0.8571428571428571
"('11920_65',)","('192.168.220.47',)",1.0
"('10694_123',)","('192.168.210.52',)",1.0
"('12134_238',)","('192.168.220.42',)",1.0
"('12056_135',)","('192.168.220.43',)",1.0
"('10099_235',)","('192.168.220.51',)",1.0
"('10696_227',)","('192.168.220.51',)",1.0
"('10629_109',)","('192.168.220.51',)",1.0
"('12388_0',)","('192.168.220.43',)",1.0
"('11151_88',)","('192.168.220.51',)",0.8571428571428571
"('12515_89',)","('192.168.210.55',)",1.0
"('12542_98',)","('192.168.210.48',)",1.0
"('12543_14',)","('192.168.220.51',)",1.0
"('12568_7',)","('192.168.220.46',)",1.0
"('12596_9',)","('192.168.220.48',)",1.0
"('12627_143',)","('192.168.220.48',)",1.0
"('12631_195',)","('192.168.220.48',)",1.0
"('12640_85',)","('192.168.220.48',)",1.0
"('12566_169',)","('192.168.220.48',)",1.0
"('12656_121',)","('192.168.220.48',)",1.0
"('12665_104',)","('192.168.220.48',)",1.0
"('12126_56',)","('192.168.220.48',)",1.0
"('12671_104',)","('192.168.220.48',)",1.0
"('12673_226',)","('192.168.220.48',)",1.0
"('12694_95',)","('192.168.220.51',)",1.0
"('11889_36',)","('192.168.220.51',)",1.0
"('12734_177',)","('192.168.220.47',)",1.0
"('12828_239',)","('192.168.220.47',)",1.0
"('12844_103',)","('192.168.210.47',)",1.0
"('12913_121',)","('192.168.220.47',)",1.0
"('12915_135',)","('192.168.220.47',)",1.0
"('10372_227',)","('192.168.220.43',)",1.0
"('12971_98',)","('192.168.210.47',)",1.0
"('13039_155',)","('192.168.220.50',)",1.0
"('13056_100',)","('192.168.220.46',)",1.0
"('13080_49',)","('192.168.220.45',)",1.0
"('11839_179',)","('192.168.220.51',)",1.0
"('13115_181',)","('192.168.220.51',)",1.0
"('12551_227',)","('192.168.210.54',)",1.0
"('11593_187',)","('192.168.220.42',)",1.0
"('13219_248',)","('192.168.220.46',)",0.8571428571428571
"('10389_208',)","('192.168.220.48',)",1.0
"('10946_155',)","('192.168.220.43',)",1.0
"('13309_26',)","('192.168.210.45',)",1.0
"('10310_12',)","('192.168.220.47',)",1.0
"('13243_66',)","('192.168.220.47',)",1.0
"('13303_59',)","('192.168.220.47',)",1.0
"('13408_109',)","('192.168.220.51',)",1.0
"('13410_62',)","('192.168.220.49',)",1.0
"('13442_216',)","('192.168.220.51',)",1.0
"('10297_28',)","('192.168.220.51',)",1.0
"('13486_58',)","('192.168.220.50',)",1.0
"('13507_231',)","('192.168.220.50',)",1.0
"('13564_123',)","('192.168.220.47',)",1.0
"('12779_27',)","('192.168.210.48',)",0.8571428571428571
"('13609_133',)","('192.168.220.51',)",1.0
"('12160_0',)","('192.168.220.51',)",1.0
"('13772_130',)","('192.168.220.42',)",1.0
"('13859_100',)","('192.168.220.45',)",1.0
"('13870_204',)","('192.168.220.42',)",1.0
"('12757_135',)","('192.168.220.42',)",1.0
"('13891_247',)","('192.168.210.49',)",1.0
"('13906_202',)","('192.168.220.45',)",1.0
"('12668_118',)","('192.168.220.47',)",1.0
"('10228_217',)","('192.168.220.50',)",1.0
"('10416_91',)","('192.168.210.53',)",1.0
"('12328_100',)","('192.168.220.43',)",0.8571428571428571
"('14031_70',)","('192.168.220.51',)",1.0
"('14100_46',)","('192.168.210.57',)",1.0
"('11831_218',)","('192.168.210.57',)",1.0
"('14118_51',)","('192.168.220.42',)",0.8571428571428571
"('11685_199',)","('192.168.220.51',)",1.0
"('11691_119',)","('192.168.220.51',)",1.0
"('11689_75',)","('192.168.220.51',)",1.0
"('14191_41',)","('192.168.220.51',)",1.0
"('14196_50',)","('192.168.220.51',)",1.0
"('14234_38',)","('192.168.220.51',)",1.0
"('14242_50',)","('192.168.220.51',)",1.0
"('14302_10',)","('192.168.220.51',)",1.0
"('14353_156',)","('192.168.220.51',)",1.0
"('11061_32',)","('192.168.220.51',)",0.8571428571428571
"('11166_69',)","('192.168.220.48',)",1.0
"('12972_83',)","('192.168.220.45',)",1.0
"('10371_30',)","('192.168.220.45',)",1.0
"('14398_221',)","('192.168.220.47',)",1.0
"('14412_8',)","('192.168.220.51',)",1.0
"('14415_173',)","('192.168.220.51',)",1.0
"('12822_36',)","('192.168.210.47',)",1.0
"('14458_250',)","('192.168.210.55',)",1.0
"('10021_197',)","('192.168.210.56',)",1.0
"('12779_157',)","('192.168.210.56',)",1.0
"('14490_244',)","('192.168.210.56',)",1.0
"('11151_67',)","('192.168.210.46',)",1.0
"('11005_165',)","('192.168.210.49',)",1.0
"('14504_207',)","('192.168.210.49',)",1.0
"('10930_234',)","('192.168.220.46',)",1.0
"('11869_75',)","('192.168.220.49',)",1.0
"('14534_246',)","('192.168.220.51',)",1.0
"('12229_180',)","('192.168.220.47',)",1.0
"('12686_69',)","('192.168.220.47',)",1.0
"('10392_59',)","('192.168.220.42',)",1.0
"('10343_169',)","('192.168.210.45',)",1.0
"('13671_224',)","('192.168.210.48',)",1.0
"('14624_142',)","('192.168.220.47',)",1.0
"('10058_63',)","('192.168.220.46',)",1.0
"('10813_16',)","('192.168.220.47',)",1.0
"('10932_43',)","('192.168.220.42',)",0.8620689655172413
"('11324_212',)","('192.168.220.47',)",1.0
"('12476_73',)","('192.168.210.55',)",1.0
"('12695_109',)","('192.168.220.51',)",1.0
"('11649_8',)","('192.168.220.48',)",1.0
"('12730_253',)","('192.168.220.46',)",1.0
"('13222_111',)","('192.168.220.48',)",1.0
"('13256_254',)","('192.168.220.42',)",1.0
"('10925_16',)","('192.168.210.47',)",1.0
"('10236_195',)","('192.168.220.51',)",1.0
"('10463_99',)","('192.168.220.51',)",1.0
"('13499_44',)","('192.168.220.50',)",1.0
"('13631_73',)","('192.168.220.42',)",1.0
"('13239_164',)","('192.168.220.48',)",1.0
"('12160_8',)","('192.168.220.50',)",1.0
"('14057_171',)","('192.168.220.51',)",0.7931034482758621
"('10028_195',)","('192.168.220.51',)",0.8620689655172413
"('14464_99',)","('192.168.220.46',)",1.0
"('14471_105',)","('192.168.220.46',)",1.0
"('11619_187',)","('192.168.220.51',)",1.0
"('10902_197',)","('192.168.210.48',)",1.0
"('11077_74',)","('192.168.220.48',)",1.0
"('11240_167',)","('192.168.210.56',)",0.8
"('11807_157',)","('192.168.220.51',)",1.0
"('10350_49',)","('192.168.220.51',)",0.8
"('10088_171',)","('192.168.220.51',)",1.0
"('11959_76',)","('192.168.220.51',)",1.0
"('11963_166',)","('192.168.220.51',)",1.0
"('12059_4',)","('192.168.220.47',)",1.0
"('10114_198',)","('192.168.220.47',)",1.0
"('12136_104',)","('192.168.220.42',)",1.0
"('12331_37',)","('192.168.220.42',)",1.0
"('12348_252',)","('192.168.220.47',)",1.0
"('10088_122',)","('192.168.220.51',)",0.8666666666666667
"('12442_225',)","('192.168.210.53',)",1.0
"('12445_115',)","('192.168.210.53',)",1.0
"('12641_22',)","('192.168.220.48',)",1.0
"('12700_240',)","('192.168.220.51',)",1.0
"('12686_179',)","('192.168.220.47',)",1.0
"('12767_209',)","('192.168.210.47',)",0.8
"('11323_101',)","('192.168.220.47',)",0.7666666666666667
"('12972_131',)","('192.168.220.51',)",1.0
"('13013_75',)","('192.168.220.50',)",1.0
"('10088_173',)","('192.168.220.50',)",1.0
"('13060_57',)","('192.168.210.56',)",0.8666666666666667
"('11697_69',)","('192.168.220.47',)",1.0
"('13113_140',)","('192.168.220.50',)",1.0
"('13135_212',)","('192.168.220.51',)",1.0
"('13141_101',)","('192.168.220.42',)",1.0
"('13159_160',)","('192.168.220.51',)",0.8
"('12785_5',)","('192.168.210.54',)",1.0
"('10946_147',)","('192.168.210.57',)",1.0
"('13237_113',)","('192.168.210.48',)",1.0
"('13284_165',)","('192.168.210.47',)",1.0
"('13299_55',)","('192.168.220.45',)",1.0
"('10327_2',)","('192.168.210.50',)",1.0
"('13333_236',)","('192.168.220.47',)",1.0
"('11945_182',)","('192.168.220.49',)",1.0
"('13113_19',)","('192.168.220.51',)",1.0
"('11831_194',)","('192.168.220.51',)",1.0
"('13521_97',)","('192.168.220.47',)",1.0
"('13592_72',)","('192.168.210.52',)",1.0
"('13603_57',)","('192.168.220.47',)",1.0
"('10147_13',)","('192.168.210.54',)",1.0
"('13775_21',)","('192.168.220.42',)",1.0
"('10160_82',)","('192.168.220.42',)",1.0
"('13809_192',)","('192.168.210.55',)",1.0
"('13860_100',)","('192.168.220.45',)",1.0
"('10003_243',)","('192.168.220.42',)",1.0
"('13901_183',)","('192.168.220.51',)",0.8
"('13911_207',)","('192.168.220.47',)",1.0
"('13921_0',)","('192.168.220.47',)",1.0
"('10088_56',)","('192.168.210.55',)",1.0
"('13929_70',)","('192.168.220.47',)",1.0
"('13552_251',)","('192.168.220.49',)",1.0
"('13960_40',)","('192.168.210.52',)",1.0
"('13979_110',)","('192.168.220.45',)",1.0
"('14076_192',)","('192.168.210.47',)",1.0
"('10938_2',)","('192.168.220.51',)",1.0
"('10002_131',)","('192.168.220.48',)",1.0
"('14134_134',)","('192.168.220.51',)",1.0
"('14160_50',)","('192.168.210.54',)",1.0
"('13521_98',)","('192.168.220.51',)",1.0
"('14310_249',)","('192.168.220.49',)",1.0
"('10661_100',)","('192.168.220.51',)",1.0
"('14419_240',)","('192.168.220.51',)",1.0
"('11375_16',)","('192.168.210.45',)",1.0
"('10088_96',)","('192.168.220.49',)",1.0
"('10938_60',)","('192.168.210.45',)",1.0
"('11011_95',)","('192.168.220.47',)",1.0
"('14462_35',)","('192.168.220.51',)",1.0
"('10088_233',)","('192.168.220.46',)",1.0
"('11831_219',)","('192.168.220.51',)",1.0
"('10016_181',)","('192.168.210.56',)",1.0
"('10021_65',)","('192.168.210.56',)",1.0
"('10582_165',)","('192.168.210.49',)",1.0
"('13846_181',)","('192.168.220.49',)",1.0
"('12822_60',)","('192.168.210.47',)",1.0
"('14553_140',)","('192.168.210.56',)",1.0
"('11697_156',)","('192.168.220.42',)",1.0
"('14587_35',)","('192.168.220.43',)",1.0
"('12350_210',)","('192.168.210.48',)",1.0
"('11806_232',)","('192.168.220.51',)",1.0
"('11812_144',)","('192.168.220.51',)",1.0
"('11821_34',)","('192.168.220.51',)",1.0
"('11441_240',)","('192.168.210.57',)",1.0
"('11888_70',)","('192.168.220.47',)",1.0
"('11389_208',)","('192.168.210.56',)",1.0
"('11305_59',)","('192.168.210.56',)",1.0
"('12473_100',)","('192.168.210.55',)",1.0
"('12612_47',)","('192.168.220.48',)",1.0
"('10236_83',)","('192.168.210.55',)",1.0
"('13647_6',)","('192.168.220.51',)",1.0
"('11839_107',)","('192.168.220.51',)",1.0
"('10022_217',)","('192.168.220.51',)",1.0
"('11010_225',)","('192.168.220.44',)",1.0
"('14421_36',)","('192.168.220.51',)",0.8709677419354839
"('14554_123',)","('192.168.210.56',)",1.0
"('10029_19',)","('192.168.210.54',)",1.0
"('10240_166',)","('192.168.220.46',)",1.0
"('10512_36',)","('192.168.220.47',)",1.0
"('10996_41',)","('192.168.220.47',)",1.0
"('10045_192',)","('192.168.210.52',)",0.9375
"('10088_33',)","('192.168.220.47',)",1.0
"('11737_96',)","('192.168.210.46',)",0.875
"('11781_171',)","('192.168.220.47',)",1.0
"('10022_238',)","('192.168.220.47',)",0.8125
"('11837_219',)","('192.168.210.55',)",1.0
"('11869_35',)","('192.168.210.55',)",1.0
"('10299_84',)","('192.168.220.47',)",1.0
"('11959_75',)","('192.168.220.51',)",1.0
"('11986_78',)","('192.168.220.51',)",1.0
"('10694_3',)","('192.168.220.51',)",0.875
"('12175_80',)","('192.168.220.51',)",1.0
"('12176_104',)","('192.168.220.51',)",1.0
"('12262_37',)","('192.168.220.51',)",1.0
"('10310_123',)","('192.168.220.51',)",1.0
"('10416_84',)","('192.168.220.51',)",1.0
"('11859_43',)","('192.168.210.55',)",1.0
"('11593_232',)","('192.168.220.42',)",1.0
"('12630_33',)","('192.168.220.48',)",0.75
"('11167_43',)","('192.168.220.47',)",1.0
"('12720_6',)","('192.168.220.47',)",1.0
"('12800_28',)","('192.168.220.51',)",1.0
"('12191_51',)","('192.168.220.51',)",1.0
"('10088_63',)","('192.168.220.47',)",1.0
"('12867_96',)","('192.168.210.47',)",1.0
"('12441_74',)","('192.168.210.54',)",1.0
"('13252_162',)","('192.168.210.47',)",1.0
"('10694_58',)","('192.168.220.47',)",1.0
"('13306_173',)","('192.168.210.45',)",1.0
"('10963_26',)","('192.168.210.45',)",1.0
"('10423_198',)","('192.168.220.47',)",0.8125
"('13303_61',)","('192.168.220.47',)",1.0
"('10099_185',)","('192.168.210.52',)",1.0
"('13489_161',)","('192.168.220.50',)",1.0
"('13603_6',)","('192.168.220.47',)",1.0
"('11443_27',)","('192.168.210.46',)",1.0
"('13625_37',)","('192.168.220.51',)",1.0
"('13644_99',)","('192.168.220.51',)",1.0
"('11619_237',)","('192.168.220.48',)",1.0
"('13696_180',)","('192.168.210.48',)",1.0
"('13725_206',)","('192.168.210.54',)",1.0
"('10030_161',)","('192.168.220.42',)",1.0
"('12741_217',)","('192.168.220.48',)",1.0
"('10299_67',)","('192.168.210.46',)",1.0
"('13904_202',)","('192.168.220.45',)",1.0
"('13905_64',)","('192.168.220.45',)",1.0
"('10008_82',)","('192.168.210.54',)",1.0
"('13976_152',)","('192.168.220.45',)",1.0
"('14091_238',)","('192.168.210.47',)",1.0
"('12497_14',)","('192.168.220.51',)",1.0
"('14209_125',)","('192.168.220.51',)",1.0
"('13291_29',)","('192.168.220.51',)",1.0
"('14270_53',)","('192.168.220.49',)",1.0
"('14278_251',)","('192.168.220.51',)",1.0
"('13769_121',)","('192.168.220.51',)",1.0
"('10416_108',)","('192.168.220.51',)",1.0
"('13554_35',)","('192.168.220.51',)",1.0
"('14384_19',)","('192.168.210.49',)",1.0
"('11649_117',)","('192.168.220.43',)",1.0
"('14387_72',)","('192.168.220.45',)",1.0
"('14411_9',)","('192.168.220.51',)",0.8125
"('14474_51',)","('192.168.210.53',)",1.0
"('10545_165',)","('192.168.210.49',)",1.0
"('14502_13',)","('192.168.210.49',)",1.0
"('13203_213',)","('192.168.210.56',)",1.0
"('12436_38',)","('192.168.210.53',)",1.0
"('10694_11',)","('192.168.220.45',)",1.0
"('13675_129',)","('192.168.220.51',)",1.0
"('14197_95',)","('192.168.220.51',)",1.0
"('14350_218',)","('192.168.220.47',)",1.0
"('10088_148',)","('192.168.210.50',)",0.8823529411764706
"('10088_149',)","('192.168.220.42',)",1.0
"('11224_45',)","('192.168.210.46',)",0.8235294117647058
"('11374_47',)","('192.168.220.49',)",1.0
"('10302_129',)","('192.168.220.47',)",1.0
"('10696_43',)","('192.168.220.42',)",1.0
"('11547_189',)","('192.168.220.47',)",1.0
"('10088_115',)","('192.168.220.49',)",0.8823529411764706
"('11704_145',)","('192.168.220.46',)",1.0
"('10299_121',)","('192.168.210.55',)",1.0
"('11883_2',)","('192.168.220.45',)",1.0
"('10003_170',)","('192.168.220.47',)",1.0
"('12125_83',)","('192.168.220.42',)",0.7647058823529411
"('12393_60',)","('192.168.220.43',)",1.0
"('12978_27',)","('192.168.220.45',)",0.7352941176470589
"('13338_52',)","('192.168.220.47',)",1.0
"('13435_76',)","('192.168.220.51',)",1.0
"('13439_252',)","('192.168.210.55',)",1.0
"('13122_80',)","('192.168.220.47',)",1.0
"('10327_50',)","('192.168.220.45',)",1.0
"('10058_198',)","('192.168.210.48',)",0.7058823529411765
"('13869_49',)","('192.168.220.47',)",1.0
"('12779_125',)","('192.168.220.51',)",1.0
"('13875_92',)","('192.168.220.51',)",1.0
"('13877_169',)","('192.168.210.54',)",1.0
"('10373_44',)","('192.168.210.52',)",1.0
"('13988_187',)","('192.168.220.48',)",1.0
"('14017_120',)","('192.168.220.51',)",0.8235294117647058
"('14023_131',)","('192.168.220.50',)",1.0
"('10012_131',)","('192.168.220.50',)",1.0
"('14142_45',)","('192.168.220.51',)",1.0
"('10764_59',)","('192.168.220.45',)",1.0
"('13774_115',)","('192.168.220.51',)",0.7647058823529411
"('14053_20',)","('192.168.220.51',)",0.7647058823529411
"('14429_174',)","('192.168.220.46',)",1.0
"('14472_78',)","('192.168.220.46',)",1.0
"('14595_214',)","('192.168.220.47',)",1.0
"('14603_154',)","('192.168.210.45',)",1.0
"('11357_233',)","('192.168.220.45',)",1.0
"('10987_235',)","('192.168.220.46',)",1.0
"('10328_181',)","('192.168.220.51',)",0.8285714285714286
"('12035_85',)","('192.168.220.47',)",1.0
"('11340_99',)","('192.168.220.47',)",1.0
"('12103_156',)","('192.168.220.51',)",0.6571428571428571
"('12273_12',)","('192.168.220.51',)",1.0
"('12454_24',)","('192.168.220.47',)",0.7428571428571429
"('10501_79',)","('192.168.220.43',)",1.0
"('13896_242',)","('192.168.210.47',)",0.8285714285714286
"('13999_215',)","('192.168.220.43',)",1.0
"('14024_180',)","('192.168.210.47',)",1.0
"('14329_99',)","('192.168.210.49',)",0.7142857142857143
"('10088_46',)","('192.168.220.47',)",1.0
"('11227_228',)","('192.168.210.56',)",1.0
"('11776_77',)","('192.168.220.50',)",1.0
"('11802_75',)","('192.168.220.47',)",1.0
"('11853_35',)","('192.168.220.49',)",1.0
